X,Y,Z,Name,description,gx_media_links
-80.836845,35.205454,0,Little Sugar Creek Greenway Access,E Morehead St,
-80.836636,35.2104075,0,Little Sugar Creek Greenway Access,Pearl Park Way,
-80.8367942,35.2071621,0,Little Sugar Creek Greenway Access,Harding Place,
-80.835925,35.210963,0,Little Sugar Creek Greenway Access,S Kings Dr,
-80.826782,35.221777,0,Little Sugar Creek Greenway Access,Cross Trail Drive,
-80.82011,35.234868,0,Little Sugar Creek Greenway Access,Parkwood Ave,
-80.8197039,35.2359445,0,Little Sugar Creek Greenway Access,N Davidson St,
-80.8204872,35.2352742,0,Little Sugar Creek Greenway Access,Parkwood Ave,
-80.816461,35.2384498,0,Little Sugar Creek Greenway Access,E 24th St,
-80.8154971,35.2393472,0,Little Sugar Creek Greenway Access,E 25th St,
-80.7503472,35.2782506,0,Toby Creek Greenway Access,Autumnwood Lane,
-80.7558257,35.3215925,0,Mallard Creek Greenway Access,David Taylor Dr,
-80.756869,35.323347,0,Mallard Creek Greenway Access,David Taylor Dr,
-80.759547,35.325221,0,Mallard Creek Greenway Access,,
-80.760508,35.32607,0,Mallard Creek Greenway Access,,
-80.7734742,35.326407,0,Mallard Creek Greenway Access,Mallard Creek Road,
